dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
176,85962,HP1590,,NE,15547264,
176,85962,HP1589,,NE,15547264,
176,85962,HP1587,,NE,15547264,
176,85962,HP1586,,NE,15547264,
176,85962,HP1584,,NE,15547264,
176,85962,HP1583,,NE,15547264,
176,85962,HP1582,,NE,15547264,
176,85962,HP1581,,NE,15547264,
176,85962,HP1579,,NE,15547264,
176,85962,HP1578,,NE,15547264,
176,85962,HP1577,,NE,15547264,
176,85962,HP1576,,NE,15547264,
176,85962,HP1574,,NE,15547264,
176,85962,HP1573,,NE,15547264,
176,85962,HP1572,,NE,15547264,
176,85962,HP1570,,E,15547264,
176,85962,HP1569,,E,15547264,
176,85962,HP1568,,NE,15547264,
176,85962,HP1566,,E,15547264,
176,85962,HP1565,,NE,15547264,
176,85962,HP1563,,NE,15547264,
176,85962,HP1562,,NE,15547264,
176,85962,HP1559,,NE,15547264,
176,85962,HP1558,,NE,15547264,
176,85962,HP1557,,E,15547264,
176,85962,HP1555,,NE,15547264,
176,85962,HP1554,,E,15547264,
176,85962,HP1552,,E,15547264,
176,85962,HP1551,,E,15547264,
176,85962,HP1550,,NE,15547264,
176,85962,HP1549,,NE,15547264,
176,85962,HP1547,,NE,15547264,
176,85962,HP1546,,E,15547264,
176,85962,HP1545,,NE,15547264,
176,85962,HP1544,,NE,15547264,
176,85962,HP1543,,NE,15547264,
176,85962,HP1541,,NE,15547264,
176,85962,HP1540,,NE,15547264,
176,85962,HP1539,,E,15547264,
176,85962,HP1537,,NE,15547264,
176,85962,HP1536,,E,15547264,
176,85962,HP1534,,NE,15547264,
176,85962,HP1535,,NE,15547264,
176,85962,HP1533,,NE,15547264,
176,85962,HP1532,,NE,15547264,
176,85962,HP1531,,E,15547264,
176,85962,HP1530,,NE,15547264,
176,85962,HP1529,,NE,15547264,
176,85962,HP1527,,NE,15547264,
176,85962,HP1528,,NE,15547264,
176,85962,HP1526,,NE,15547264,
176,85962,HP1525,,NE,15547264,
176,85962,HP1524,,E,15547264,
176,85962,HP1523,,E,15547264,
176,85962,HP1521,,NE,15547264,
176,85962,HP1518,,E,15547264,
176,85962,HP1514,,E,15547264,
176,85962,HP1513,,NE,15547264,
176,85962,HP1512,,NE,15547264,
176,85962,HP1511,,NE,15547264,
176,85962,HP1510,,E,15547264,
176,85962,HP1509,,NE,15547264,
176,85962,HP1507,,NE,15547264,
176,85962,HP1506,,NE,15547264,
176,85962,HP1505,,NE,15547264,
176,85962,HP1503,,NE,15547264,
176,85962,HP1502,,NE,15547264,
176,85962,HP1501,,NE,15547264,
176,85962,HP1500,,NE,15547264,
176,85962,HP1498,,NE,15547264,
176,85962,HP1497,,E,15547264,
176,85962,HP1496,,NE,15547264,
176,85962,HP1494,,NE,15547264,
176,85962,HP1493,,E,15547264,
176,85962,HP1491,,NE,15547264,
176,85962,HP1492,,NE,15547264,
176,85962,HP1490,,NE,15547264,
176,85962,HP1489,,NE,15547264,
176,85962,HP1488,,NE,15547264,
176,85962,HP1487,,NE,15547264,
176,85962,HP1486,,NE,15547264,
176,85962,HP1484,,E,15547264,
176,85962,HP1483,,E,15547264,
176,85962,HP1482,,E,15547264,
176,85962,HP1481,,E,15547264,
176,85962,HP1480,,E,15547264,
176,85962,HP1479,,NE,15547264,
176,85962,HP1478,,E,15547264,
176,85962,HP1477,,NE,15547264,
176,85962,HP1476,,NE,15547264,
176,85962,HP1475,,NE,15547264,
176,85962,HP1474,,NE,15547264,
176,85962,HP1473,,E,15547264,
176,85962,HP1471,,NE,15547264,
176,85962,HP1469,,NE,15547264,
176,85962,HP1468,,NE,15547264,
176,85962,HP1466,,NE,15547264,
176,85962,HP1465,,NE,15547264,
176,85962,HP1464,,NE,15547264,
176,85962,HP1462,,NE,15547264,
176,85962,HP1461,,NE,15547264,
176,85962,HP1460,,NE,15547264,
176,85962,HP1459,,NE,15547264,
176,85962,HP1458,,NE,15547264,
176,85962,HP1456,,E,15547264,
176,85962,HP1457,,NE,15547264,
176,85962,HP1455,,NE,15547264,
176,85962,HP1454,,NE,15547264,
176,85962,HP1453,,NE,15547264,
176,85962,HP1452,,NE,15547264,
176,85962,HP1451,,E,15547264,
176,85962,HP1450,,E,15547264,
176,85962,HP1448,,E,15547264,
176,85962,HP1447,,E,15547264,
176,85962,HP1446,,E,15547264,
176,85962,HP1445,,E,15547264,
176,85962,HP1444,,NE,15547264,
176,85962,HP1442,,E,15547264,
176,85962,HP1441,,NE,15547264,
176,85962,HP1439,,E,15547264,
176,85962,HP1437,,NE,15547264,
176,85962,HP1436,,E,15547264,
176,85962,HP1435,,NE,15547264,
176,85962,HP1433,,NE,15547264,
176,85962,HP1432,,NE,15547264,
176,85962,HP1431,,NE,15547264,
176,85962,HP1430,,NE,15547264,
176,85962,HP1429,,NE,15547264,
176,85962,HP1428,,NE,15547264,
176,85962,HP1427,,NE,15547264,
176,85962,HP1424,,NE,15547264,
176,85962,HP1421,,E,15547264,
176,85962,HP1420,,NE,15547264,
176,85962,HP1419,,E,15547264,
176,85962,HP1418,,NE,15547264,
176,85962,HP1416,,NE,15547264,
176,85962,HP1415,,NE,15547264,
176,85962,HP1414,,E,15547264,
176,85962,HP1413,,E,15547264,
176,85962,HP1412,,NE,15547264,
176,85962,HP1410,,NE,15547264,
176,85962,HP1409,,NE,15547264,
176,85962,HP1408,,NE,15547264,
176,85962,HP1407,,NE,15547264,
176,85962,HP1406,,NE,15547264,
176,85962,HP1405,,E,15547264,
176,85962,HP1403,,NE,15547264,
176,85962,HP1402,,NE,15547264,
176,85962,HP1401,,NE,15547264,
176,85962,HP1400,,NE,15547264,
176,85962,HP1399,,NE,15547264,
176,85962,HP1398,,NE,15547264,
176,85962,HP1397,,NE,15547264,
